HS[55.570447], V, HS[55.570447], BB[0.014777], BB[0.000000], 0.029553, 111.155670
HS[55.969365], V, HS[55.969365], BB[0.015317], BB[0.000000], 0.030635, 111.954048
HS[56.368252], V, HS[56.368252], BB[0.015874], BB[0.000000], 0.031748, 112.752379
HS[56.767107], V, HS[56.767107], BB[0.016446], BB[0.000000], 0.032893, 113.550661
HS[57.165930], V, HS[57.165930], BB[0.017035], BB[0.000000], 0.034070, 114.348895
HS[57.564719], V, HS[57.564719], BB[0.017641], BB[0.000000], 0.035281, 115.147078
HS[57.963474], V, HS[57.963474], BB[0.018263], BB[0.000000], 0.036526, 115.945210
HS[58.362194], V, HS[58.362194], BB[0.018903], BB[0.000000], 0.037806, 116.743290
HS[58.760878], V, HS[58.760878], BB[0.019561], BB[0.000000], 0.039122, 117.541317
HS[59.159526], V, HS[59.159526], BB[0.020237], BB[0.000000], 0.040474, 118.339289
HS[59.558137], V, HS[59.558137], BB[0.020932], BB[0.000000], 0.041863, 119.137205
HS[59.956710], V, HS[59.956710], BB[0.021645], BB[0.000000], 0.043290, 119.935065
HS[60.355245], V, HS[60.355245], BB[0.022378], BB[0.000000], 0.044755, 120.732867
HS[60.753740], V, HS[60.753740], BB[0.023130], BB[0.000000], 0.046260, 121.530610
HS[61.152195], V, HS[61.152195], BB[0.023903], BB[0.000000], 0.047805, 122.328292
HS[61.550609], V, HS[61.550609], BB[0.024695], BB[0.000000], 0.049391, 123.125914
HS[61.948982], V, HS[61.948982], BB[0.025509], BB[0.000000], 0.051018, 123.923472
HS[62.347311], V, HS[62.347311], BB[0.026344], BB[0.000000], 0.052689, 124.720967
HS[62.745598], V, HS[62.745598], BB[0.027201], BB[0.000000], 0.054402, 125.518397
HS[63.143840], V, HS[63.143840], BB[0.028080], BB[0.000000], 0.056160, 126.315760
HS[63.542037], V, HS[63.542037], BB[0.028981], BB[0.000000], 0.057963, 127.113056
HS[63.940189], V, HS[63.940189], BB[0.029906], BB[0.000000], 0.059811, 127.910283
HS[64.338293], V, HS[64.338293], BB[0.030853], BB[0.000000], 0.061707, 128.707440
HS[64.736350], V, HS[64.736350], BB[0.031825], BB[0.000000], 0.063650, 129.504525
HS[65.134359], V, HS[65.134359], BB[0.032821], BB[0.000000], 0.065641, 130.301538
HS[65.532318], V, HS[65.532318], BB[0.033841], BB[0.000000], 0.067682, 131.098476
HS[65.930226], V, HS[65.930226], BB[0.034887], BB[0.000000], 0.069774, 131.895339
HS[66.328084], V, HS[66.328084], BB[0.035958], BB[0.000000], 0.071916, 132.692125
HS[66.725889], V, HS[66.725889], BB[0.037056], BB[0.000000], 0.074111, 133.488833
HS[67.123641], V, HS[67.123641], BB[0.038180], BB[0.000000], 0.076359, 134.285461
HS[67.521339], V, HS[67.521339], BB[0.039331], BB[0.000000], 0.078661, 135.082008
HS[67.918982], V, HS[67.918982], BB[0.040509], BB[0.000000], 0.081018, 135.878472
HS[68.316568], V, HS[68.316568], BB[0.041716], BB[0.000000], 0.083432, 136.674853
HS[68.714098], V, HS[68.714098], BB[0.042951], BB[0.000000], 0.085902, 137.471148
HS[69.111570], V, HS[69.111570], BB[0.044215], BB[0.000000], 0.088430, 138.267355
HS[69.508983], V, HS[69.508983], BB[0.045508], BB[0.000000], 0.091017, 139.063475
HS[69.906336], V, HS[69.906336], BB[0.046832], BB[0.000000], 0.093664, 139.859504
HS[70.303628], V, HS[70.303628], BB[0.048186], BB[0.000000], 0.096372, 140.655442
HS[70.700858], V, HS[70.700858], BB[0.049571], BB[0.000000], 0.099142, 141.451286
HS[71.098024], V, HS[71.098024], BB[0.050988], BB[0.000000], 0.101976, 142.247036
HS[71.495126], V, HS[71.495126], BB[0.052437], BB[0.000000], 0.104874, 143.042690
HS[71.892164], V, HS[71.892164], BB[0.053918], BB[0.000000], 0.107836, 143.838245
HS[72.289134], V, HS[72.289134], BB[0.055433], BB[0.000000], 0.110866, 144.633701
HS[72.686038], V, HS[72.686038], BB[0.056981], BB[0.000000], 0.113962, 145.429056
HS[73.082872], V, HS[73.082872], BB[0.058564], BB[0.000000], 0.117128, 146.224308
HS[73.479637], V, HS[73.479637], BB[0.060181], BB[0.000000], 0.120363, 147.019456
HS[73.876331], V, HS[73.876331], BB[0.061834], BB[0.000000], 0.123669, 147.814497
HS[74.272954], V, HS[74.272954], BB[0.063523], BB[0.000000], 0.127046, 148.609430
HS[74.669503], V, HS[74.669503], BB[0.065249], BB[0.000000], 0.130497, 149.404254
HS[75.065977], V, HS[75.065977], BB[0.067011], BB[0.000000], 0.134023, 150.198966
HS[75.462377], V, HS[75.462377], BB[0.068812], BB[0.000000], 0.137623, 150.993565
HS[75.858699], V, HS[75.858699], BB[0.070650], BB[0.000000], 0.141301, 151.788049
HS[76.254944], V, HS[76.254944], BB[0.072528], BB[0.000000], 0.145056, 152.582416
HS[76.651110], V, HS[76.651110], BB[0.074445], BB[0.000000], 0.148890, 153.376665
HS[77.047195], V, HS[77.047195], BB[0.076402], BB[0.000000], 0.152805, 154.170793
HS[77.443199], V, HS[77.443199], BB[0.078400], BB[0.000000], 0.156801, 154.964799
HS[77.839120], V, HS[77.839120], BB[0.080440], BB[0.000000], 0.160880, 155.758680
HS[78.234957], V, HS[78.234957], BB[0.082521], BB[0.000000], 0.165043, 156.552436
HS[78.630709], V, HS[78.630709], BB[0.084646], BB[0.000000], 0.169291, 157.346063
HS[79.026374], V, HS[79.026374], BB[0.086813], BB[0.000000], 0.173626, 158.139561
HS[79.421951], V, HS[79.421951], BB[0.089024], BB[0.000000], 0.178049, 158.932927
HS[79.817439], V, HS[79.817439], BB[0.091280], BB[0.000000], 0.182561, 159.726159
HS[80.212836], V, HS[80.212836], BB[0.093582], BB[0.000000], 0.187164, 160.519255
HS[80.608142], V, HS[80.608142], BB[0.095929], BB[0.000000], 0.191858, 161.312213
HS[81.003354], V, HS[81.003354], BB[0.098323], BB[0.000000], 0.196646, 162.105031
HS[81.398472], V, HS[81.398472], BB[0.100764], BB[0.000000], 0.201528, 162.897708
HS[81.793494], V, HS[81.793494], BB[0.103253], BB[0.000000], 0.206506, 163.690241
HS[82.188418], V, HS[82.188418], BB[0.105791], BB[0.000000], 0.211582, 164.482627
HS[82.583244], V, HS[82.583244], BB[0.108378], BB[0.000000], 0.216756, 165.274866
HS[82.977969], V, HS[82.977969], BB[0.111015], BB[0.000000], 0.222031, 166.066954
HS[83.372593], V, HS[83.372593], BB[0.113703], BB[0.000000], 0.227407, 166.858890
HS[83.767114], V, HS[83.767114], BB[0.116443], BB[0.000000], 0.232886, 167.650671
HS[84.161531], V, HS[84.161531], BB[0.119235], BB[0.000000], 0.238469, 168.442296
HS[84.555841], V, HS[84.555841], BB[0.122079], BB[0.000000], 0.244159, 169.233762
HS[84.950044], V, HS[84.950044], BB[0.124978], BB[0.000000], 0.249956, 170.025067
HS[85.344139], V, HS[85.344139], BB[0.127931], BB[0.000000], 0.255861, 170.816208
HS[85.738123], V, HS[85.738123], BB[0.130939], BB[0.000000], 0.261877, 171.607184
HS[86.131995], V, HS[86.131995], BB[0.134003], BB[0.000000], 0.268005, 172.397992
HS[86.525754], V, HS[86.525754], BB[0.137123], BB[0.000000], 0.274246, 173.188630
HS[86.919397], V, HS[86.919397], BB[0.140301], BB[0.000000], 0.280603, 173.979096
HS[87.312925], V, HS[87.312925], BB[0.143538], BB[0.000000], 0.287075, 174.769387
HS[87.706334], V, HS[87.706334], BB[0.146833], BB[0.000000], 0.293666, 175.559501
HS[88.099624], V, HS[88.099624], BB[0.150188], BB[0.000000], 0.300376, 176.349436
HS[88.492793], V, HS[88.492793], BB[0.153604], BB[0.000000], 0.307207, 177.139189
HS[88.885838], V, HS[88.885838], BB[0.157081], BB[0.000000], 0.314162, 177.928758
HS[89.278760], V, HS[89.278760], BB[0.160620], BB[0.000000], 0.321240, 178.718140
HS[89.671555], V, HS[89.671555], BB[0.164222], BB[0.000000], 0.328445, 179.507333
HS[90.064223], V, HS[90.064223], BB[0.167888], BB[0.000000], 0.335777, 180.296335
HS[90.456762], V, HS[90.456762], BB[0.171619], BB[0.000000], 0.343238, 181.085143
HS[90.849169], V, HS[90.849169], BB[0.175415], BB[0.000000], 0.350831, 181.873754
HS[91.241444], V, HS[91.241444], BB[0.179278], BB[0.000000], 0.358556, 182.662167
HS[91.633585], V, HS[91.633585], BB[0.183207], BB[0.000000], 0.366415, 183.450378
HS[92.025590], V, HS[92.025590], BB[0.187205], BB[0.000000], 0.374410, 184.238385
HS[92.417457], V, HS[92.417457], BB[0.191271], BB[0.000000], 0.382543, 185.026186
HS[92.809185], V, HS[92.809185], BB[0.195408], BB[0.000000], 0.390815, 185.813777
HS[93.200771], V, HS[93.200771], BB[0.199614], BB[0.000000], 0.399229, 186.601157
HS[93.592215], V, HS[93.592215], BB[0.203893], BB[0.000000], 0.407785, 187.388322
HS[93.983514], V, HS[93.983514], BB[0.208243], BB[0.000000], 0.416486, 188.175271
HS[94.374666], V, HS[94.374666], BB[0.212667], BB[0.000000], 0.425334, 188.961999
HS[94.765671], V, HS[94.765671], BB[0.217165], BB[0.000000], 0.434329, 189.748506
HS[95.156525], V, HS[95.156525], BB[0.221738], BB[0.000000], 0.443475, 190.534787
HS[95.547227], V, HS[95.547227], BB[0.226386], BB[0.000000], 0.452773, 191.320841
HS[95.937776], V, HS[95.937776], BB[0.231112], BB[0.000000], 0.462224, 192.106664
HS[96.328169], V, HS[96.328169], BB[0.235915], BB[0.000000], 0.471831, 192.892254
HS[96.718406], V, HS[96.718406], BB[0.240797], BB[0.000000], 0.481594, 193.677608
HS[97.108482], V, HS[97.108482], BB[0.245759], BB[0.000000], 0.491518, 194.462724
HS[97.498398], V, HS[97.498398], BB[0.250801], BB[0.000000], 0.501602, 195.247597
HS[97.888151], V, HS[97.888151], BB[0.255924], BB[0.000000], 0.511849, 196.032227
HS[98.277739], V, HS[98.277739], BB[0.261130], BB[0.000000], 0.522261, 196.816609
HS[98.667160], V, HS[98.667160], BB[0.266420], BB[0.000000], 0.532840, 197.600740
HS[99.056413], V, HS[99.056413], BB[0.271794], BB[0.000000], 0.543587, 198.384619
HS[99.445495], V, HS[99.445495], BB[0.277253], BB[0.000000], 0.554505, 199.168242
HS[99.834404], V, HS[99.834404], BB[0.282798], BB[0.000000], 0.565596, 199.951606
HS[100.223139], V, HS[100.223139], BB[0.288430], BB[0.000000], 0.576861, 200.734709
HS[100.611698], V, HS[100.611698], BB[0.294151], BB[0.000000], 0.588302, 201.517547
HS[101.000078], V, HS[101.000078], BB[0.299961], BB[0.000000], 0.599922, 202.300117
HS[101.388277], V, HS[101.388277], BB[0.305861], BB[0.000000], 0.611723, 203.082416
HS[101.776294], V, HS[101.776294], BB[0.311853], BB[0.000000], 0.623706, 203.864441
HS[102.164127], V, HS[102.164127], BB[0.317937], BB[0.000000], 0.635873, 204.646190
HS[102.551773], V, HS[102.551773], BB[0.324114], BB[0.000000], 0.648227, 205.427659
HS[102.939230], V, HS[102.939230], BB[0.330385], BB[0.000000], 0.660770, 206.208845
HS[103.326497], V, HS[103.326497], BB[0.336751], BB[0.000000], 0.673503, 206.989746
HS[103.713571], V, HS[103.713571], BB[0.343214], BB[0.000000], 0.686429, 207.770357
HS[104.100451], V, HS[104.100451], BB[0.349775], BB[0.000000], 0.699549, 208.550676
HS[104.487133], V, HS[104.487133], BB[0.356433], BB[0.000000], 0.712867, 209.330700
HS[104.873617], V, HS[104.873617], BB[0.363192], BB[0.000000], 0.726383, 210.110425
HS[105.259899], V, HS[105.259899], BB[0.370051], BB[0.000000], 0.740101, 210.889848
HS[105.645978], V, HS[105.645978], BB[0.377011], BB[0.000000], 0.754022, 211.668967
HS[106.031852], V, HS[106.031852], BB[0.384074], BB[0.000000], 0.768148, 212.447778
HS[106.417518], V, HS[106.417518], BB[0.391241], BB[0.000000], 0.782482, 213.226277
HS[106.802975], V, HS[106.802975], BB[0.398513], BB[0.000000], 0.797025, 214.004462
HS[107.188220], V, HS[107.188220], BB[0.405890], BB[0.000000], 0.811780, 214.782329
HS[107.573250], V, HS[107.573250], BB[0.413375], BB[0.000000], 0.826750, 215.559875
HS[107.958065], V, HS[107.958065], BB[0.420968], BB[0.000000], 0.841935, 216.337097
HS[108.342661], V, HS[108.342661], BB[0.428670], BB[0.000000], 0.857339, 217.113991
HS[108.727036], V, HS[108.727036], BB[0.436482], BB[0.000000], 0.872964, 217.890554
HS[109.111189], V, HS[109.111188], BB[0.444406], BB[0.000000], 0.888812, 218.666783
HS[109.495116], V, HS[109.495116], BB[0.452442], BB[0.000000], 0.904884, 219.442674
HS[109.878816], V, HS[109.878816], BB[0.460592], BB[0.000000], 0.921184, 220.218223
HS[110.262286], V, HS[110.262286], BB[0.468857], BB[0.000000], 0.937714, 220.993429
HS[110.645524], V, HS[110.645524], BB[0.477238], BB[0.000000], 0.954476, 221.768286
HS[111.028528], V, HS[111.028528], BB[0.485736], BB[0.000000], 0.971472, 222.542792
HS[111.411295], V, HS[111.411295], BB[0.494352], BB[0.000000], 0.988705, 223.316943
HS[111.793824], V, HS[111.793824], BB[0.503088], BB[0.000000], 1.006176, 224.090736
HS[112.176111], V, HS[112.176111], BB[0.511944], BB[0.000000], 1.023889, 224.864167
HS[112.558155], V, HS[112.558155], BB[0.520923], BB[0.000000], 1.041845, 225.637232
HS[112.939953], V, HS[112.939953], BB[0.530024], BB[0.000000], 1.060047, 226.409929
